wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOZ,SSVE,SVEL,VPVS,ECGR,PEFZ
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5280.348,72.82735,131.2842,3.35E+10,1.31E+10,2.51E+10,1.64E+10,4.26E+10,0.1927521,0.004426234,0.2777382,2.388373,2321.722,4185.28,1.80267,40.95996,4.595111
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5280.5004,72.45723,129.8484,3.34E+10,1.31E+10,2.46E+10,1.59E+10,4.21E+10,0.1957326,0.004867351,0.273907,2.400156,2347.365,4206.624,1.792067,40.20472,4.432959
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5280.6528,72.71283,128.3171,3.38E+10,1.34E+10,2.38E+10,1.49E+10,4.17E+10,0.2020226,0.004654353,0.2634868,2.383986,2375.382,4191.835,1.764715,38.39697,4.423631
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5280.8052,72.15588,128.1735,3.41E+10,1.34E+10,2.45E+10,1.55E+10,4.24E+10,0.209709,0.004151505,0.268021,2.370961,2378.026,4224.201,1.776347,36.62097,4.414845
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5280.9576,72.07684,127.8219,3.42E+10,1.35E+10,2.44E+10,1.54E+10,4.24E+10,0.2145642,0.005394528,0.266898,2.361439,2384.569,4228.82,1.773411,36.31582,4.361056
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5281.11,73.52126,128.0126,3.35E+10,1.33E+10,2.27E+10,1.38E+10,4.04E+10,0.2177918,0.006764366,0.2538787,2.357498,2381.016,4145.82,1.741195,34.76054,4.263795
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5281.2624,74.06964,130.4514,3.28E+10,1.30E+10,2.30E+10,1.43E+10,4.03E+10,0.2222161,0.00927492,0.2620954,2.343615,2336.543,4115.055,1.761192,33.05647,4.214259
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5281.4148,75.84709,132.035,3.04E+10,1.21E+10,2.06E+10,1.25E+10,3.67E+10,0.225688,0.01063718,0.2537403,2.319944,2308.493,4018.719,1.740829,33.2852,4.255584
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5281.5672,75.67162,133.2955,3.02E+10,1.20E+10,2.12E+10,1.32E+10,3.71E+10,0.2273388,0.01049253,0.262219,2.307706,2286.658,4027.932,1.761502,35.56535,4.373769
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5281.7196,76.91975,134.6674,3.00E+10,1.19E+10,2.06E+10,1.27E+10,3.65E+10,0.2279073,0.01068889,0.2578847,2.313494,2263.365,3962.623,1.750761,39.34975,4.519382
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5281.872,76.50826,135.0148,3.03E+10,1.20E+10,2.14E+10,1.34E+10,3.74E+10,0.2249122,0.01283852,0.2634995,2.329338,2257.531,3983.892,1.764714,40.8071,4.581914
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5282.0244,76.11897,135.0067,3.05E+10,1.20E+10,2.18E+10,1.38E+10,3.79E+10,0.2331059,0.01260771,0.2669805,2.326633,2257.667,4004.263,1.773629,39.38019,4.518538
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5282.1768,76.31928,134.6508,2.99E+10,1.18E+10,2.11E+10,1.32E+10,3.68E+10,0.2429439,0.01061634,0.2633439,2.302697,2263.633,3993.75,1.764311,37.06927,4.348754
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5282.3292,77.24178,134.7112,2.90E+10,1.15E+10,1.97E+10,1.20E+10,3.51E+10,0.248989,0.009249807,0.2550879,2.269299,2262.619,3946.079,1.744031,33.43553,4.144594
