wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOB,SSVE,SVEL,VPVS,ECGR,PEFZ
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5239.8704,66.11632,120.9446,3.96E+10,1.54E+10,3.10E+10,2.07E+10,5.15E+10,0.1490976,1.79E-05,0.286892,2.425451,2520.162,4610.057,1.82927,12.47917,5.235353
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5240.0228,65.75953,120.6485,4.00E+10,1.55E+10,3.15E+10,2.12E+10,5.22E+10,0.1469893,1.62E-05,0.2886803,2.430466,2526.391,4635.336,1.83474,12.15841,5.192854
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5240.1752,64.62826,118.8484,4.14E+10,1.61E+10,3.29E+10,2.22E+10,5.43E+10,0.1419798,6.83E-05,0.2900368,2.441205,2565.037,4716.638,1.838897,11.56272,5.13545
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5240.3276,63.39351,115.2206,4.42E+10,1.72E+10,3.39E+10,2.24E+10,5.69E+10,0.1325587,0.000393208,0.2827363,2.461151,2646.261,4808.41,1.817392,12.63192,4.985609
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5240.48,61.76046,111.7842,4.76E+10,1.86E+10,3.62E+10,2.38E+10,6.10E+10,0.120463,0.001386788,0.2802249,2.499321,2726.812,4937.168,1.810436,12.63192,4.811258
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5240.6324,59.90581,109.2095,5.11E+10,1.99E+10,3.95E+10,2.62E+10,6.60E+10,0.1082216,0.00321876,0.284441,2.548696,2791.981,5088.085,1.822904,13.42618,4.57874
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5240.7848,59.57555,106.4497,5.38E+10,2.11E+10,3.93E+10,2.52E+10,6.75E+10,0.1016239,0.005701039,0.2719666,2.578367,2863.325,5116.194,1.786802,13.42618,4.479068
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5240.9372,59.55488,106.684,5.34E+10,2.10E+10,3.93E+10,2.53E+10,6.73E+10,0.1057045,0.007388264,0.2736345,2.568491,2857.045,5117.981,1.791365,13.82331,4.481912
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5241.0896,59.71188,107.1091,5.23E+10,2.05E+10,3.87E+10,2.50E+10,6.60E+10,0.1150336,0.006886132,0.2745192,2.532685,2845.708,5104.72,1.793815,13.22762,4.512074
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5241.242,61.15597,108.5797,5.01E+10,1.98E+10,3.60E+10,2.28E+10,6.23E+10,0.1254162,0.005786204,0.2677091,2.506422,2807.751,4986.055,1.775668,11.73073,4.397936
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5241.3944,63.29531,111.3617,4.72E+10,1.87E+10,3.30E+10,2.05E+10,5.79E+10,0.1337848,0.005341322,0.2613975,2.496591,2737.185,4815.935,1.759426,9.943642,4.223749
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5241.5468,64.29384,112.5871,4.59E+10,1.82E+10,3.16E+10,1.95E+10,5.59E+10,0.1374033,0.006274162,0.2580326,2.487913,2707.239,4740.82,1.751159,11.13504,4.192227
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5241.6992,64.42966,112.4258,4.58E+10,1.82E+10,3.12E+10,1.91E+10,5.55E+10,0.1351579,0.007912182,0.2554803,2.481599,2711.159,4730.855,1.744949,12.41808,4.319337
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5241.8516,63.46698,111.0397,4.72E+10,1.88E+10,3.24E+10,1.99E+10,5.74E+10,0.1295244,0.008548088,0.2574051,2.489687,2745.241,4803.122,1.749593,12.41808,4.479553
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5242.004,61.84621,108.8785,4.97E+10,1.97E+10,3.48E+10,2.17E+10,6.11E+10,0.1214158,0.007742641,0.2618191,2.511996,2799.638,4929.346,1.760621,11.22668,4.536341
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5242.1564,60.1857,106.7505,5.25E+10,2.07E+10,3.76E+10,2.38E+10,6.52E+10,0.1112453,0.006152927,0.2669955,2.54168,2855.651,5064.917,1.773668,9.943642,4.512232
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5242.3088,58.49352,103.9973,5.61E+10,2.21E+10,4.05E+10,2.57E+10,6.99E+10,0.09915751,0.004369991,0.2686512,2.572238,2931.399,5212.708,1.778104,10.93647,4.480263
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5242.4612,56.47807,101.9165,5.95E+10,2.33E+10,4.48E+10,2.93E+10,7.58E+10,0.08659688,0.002370165,0.2783175,2.60101,2990.695,5397.622,1.804769,10.53934,4.425615
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5242.6136,55.50105,101.1429,6.12E+10,2.38E+10,4.74E+10,3.15E+10,7.91E+10,0.07704667,0.001322684,0.2845159,2.623894,3013.699,5491.791,1.822353,12.4639,4.436732
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5242.766,55.53927,99.94753,6.24E+10,2.44E+10,4.65E+10,3.03E+10,7.91E+10,0.0734717,0.001660686,0.2765957,2.626479,3049.638,5488.032,1.799603,10.87537,4.467087
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5242.9184,55.80276,99.76048,6.21E+10,2.44E+10,4.55E+10,2.92E+10,7.80E+10,0.07785761,0.003357057,0.2723079,2.614926,3055.365,5462.134,1.787728,11.47107,4.583432
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5243.0708,56.62854,101.5672,5.95E+10,2.33E+10,4.40E+10,2.84E+10,7.51E+10,0.09122786,0.005312827,0.2744312,2.589968,3001.833,5383.633,1.793513,11.04339,4.701444
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5243.2232,58.24177,104.773,5.54E+10,2.17E+10,4.13E+10,2.68E+10,7.02E+10,0.1108887,0.005834195,0.2764004,2.5623,2909.504,5233.976,1.798929,13.82331,4.784023
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5243.3756,59.36443,107.4058,5.22E+10,2.04E+10,3.95E+10,2.59E+10,6.67E+10,0.1301537,0.004938355,0.2799581,2.530444,2838.343,5134.573,1.809182,13.82331,4.828692
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5243.528,60.57077,110.2826,4.89E+10,1.91E+10,3.78E+10,2.51E+10,6.32E+10,0.1456914,0.003164687,0.2840346,2.493734,2764.161,5033.443,1.820867,13.82331,4.877928
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5243.6804,62.14012,113.1793,4.59E+10,1.79E+10,3.54E+10,2.35E+10,5.92E+10,0.1547661,0.001603116,0.2840824,2.461626,2693.621,4905.168,1.821272,14.61758,4.918715
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5243.8328,62.75403,115.5291,4.40E+10,1.71E+10,3.51E+10,2.37E+10,5.78E+10,0.1566996,0.000773529,0.2907243,2.44977,2638.303,4857.138,1.841001,15.80897,4.905294
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5243.9852,63.2066,115.6384,4.39E+10,1.71E+10,3.44E+10,2.30E+10,5.71E+10,0.154498,0.000167564,0.2869606,2.457539,2635.812,4822.307,1.829547,16.28247,4.853576
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5244.1376,63.44492,116.0707,4.38E+10,1.70E+10,3.43E+10,2.29E+10,5.70E+10,0.1514972,0.000314171,0.2868782,2.468231,2626.165,4804.171,1.82946,15.68678,4.818927
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5244.29,63.30026,116.5236,4.37E+10,1.69E+10,3.48E+10,2.35E+10,5.73E+10,0.149292,0.001000508,0.2906185,2.471995,2616.035,4815.255,1.840763,14.61758,4.811714
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5244.4424,63.14547,115.8652,4.41E+10,1.71E+10,3.48E+10,2.34E+10,5.76E+10,0.1485489,0.001124367,0.2886943,2.473069,2630.934,4827.092,1.834843,14.02188,4.834662
