wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOB,SSVE,SVEL,VPVS,ECGR,PEFZ
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5139.1896,58.40174,105.4297,5.46E+10,2.13E+10,4.11E+10,2.69E+10,6.96E+10,0.1158172,3.56E-05,0.2786356,2.553689,2891.027,5219.126,1.805286,13.22597,4.500626
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5139.342,58.53769,105.9818,5.44E+10,2.12E+10,4.13E+10,2.71E+10,6.96E+10,0.1026106,7.64E-05,0.2804964,2.567798,2875.995,5206.956,1.810488,13.79123,4.491295
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5139.4944,59.10622,105.0545,5.53E+10,2.18E+10,3.98E+10,2.53E+10,6.89E+10,0.08644942,2.01E-05,0.2682414,2.589459,2901.485,5156.936,1.777485,14.32583,4.443743
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5139.6468,59.13315,103.2484,5.71E+10,2.27E+10,3.90E+10,2.38E+10,6.93E+10,0.07880565,1.04E-05,0.2558489,2.606445,2952.302,5154.482,1.746014,15.25318,4.368982
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5139.7992,58.57233,101.3813,5.90E+10,2.36E+10,3.92E+10,2.35E+10,7.07E+10,0.07890597,0.002026336,0.2494623,2.611426,3006.676,5203.972,1.730847,15.27902,4.297858
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5139.9516,57.50214,99.42455,6.14E+10,2.46E+10,4.07E+10,2.43E+10,7.35E+10,0.08132143,0.005780847,0.2487016,2.615896,3065.889,5301.149,1.729066,15.48965,4.19102
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5140.104,55.60095,97.32384,6.48E+10,2.58E+10,4.46E+10,2.75E+10,7.90E+10,0.07641876,0.008652534,0.2577324,2.626134,3132.116,5483.583,1.75063,13.92763,4.095115
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5140.2564,54.69646,95.56712,6.75E+10,2.69E+10,4.62E+10,2.83E+10,8.20E+10,0.05674022,0.008511241,0.2563886,2.641648,3189.564,5572.636,1.747202,12.76401,3.98471
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5140.4088,53.86793,95.25063,6.87E+10,2.72E+10,4.87E+10,3.06E+10,8.49E+10,0.04991471,0.009827107,0.2647924,2.651874,3199.982,5658.674,1.768361,12.13482,3.932701
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5140.5612,53.61635,95.53142,6.86E+10,2.70E+10,4.97E+10,3.17E+10,8.57E+10,0.05003175,0.009430736,0.2700773,2.652726,3190.581,5684.834,1.781758,13.07857,3.945268
