wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOZ,SSVE,SVEL,VPVS,ECGR,PEFZ,,
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4951.43,61.86402,108.133,5.10E+10,2.03E+10,3.49E+10,2.14E+10,6.20E+10,0.1157451,0.005175249,0.2567067,2.552089,2818.753,4926.95,1.747922,14.13206,5.469795,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4951.5824,61.33543,107.7012,5.16E+10,2.05E+10,3.59E+10,2.22E+10,6.32E+10,0.1075242,0.002630865,0.2599869,2.557775,2830.067,4969.599,1.755984,12.23473,5.401009,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4951.7348,61.23475,107.2997,5.22E+10,2.07E+10,3.60E+10,2.22E+10,6.37E+10,0.09799795,0.00120601,0.2584921,2.569615,2840.647,4977.58,1.752278,13.99335,5.356007,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4951.8872,61.36929,107.0927,5.24E+10,2.09E+10,3.57E+10,2.18E+10,6.36E+10,0.09284363,0.000948574,0.2555242,2.576934,2846.133,4966.656,1.745056,15.32539,5.309714,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4952.0396,60.9394,106.7991,5.25E+10,2.09E+10,3.63E+10,2.24E+10,6.41E+10,0.0936208,0.001529376,0.2586108,2.562953,2853.964,5001.812,1.752575,14.78306,5.243422,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4952.192,60.51366,106.635,5.24E+10,2.08E+10,3.68E+10,2.29E+10,6.45E+10,0.1003967,0.002951652,0.2624916,2.540921,2858.348,5036.91,1.762174,13.15957,5.132627,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4952.3444,59.29229,106.5133,5.32E+10,2.09E+10,3.95E+10,2.56E+10,6.74E+10,0.1015263,0.008027256,0.2753673,2.547506,2861.615,5141.424,1.796673,11.94607,4.992474,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4952.4968,59.7759,106.4806,5.39E+10,2.12E+10,3.91E+10,2.49E+10,6.74E+10,0.09318452,0.009602479,0.2698121,2.592613,2862.493,5099.63,1.781533,12.19848,4.798536,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4952.6492,58.91723,105.8845,5.59E+10,2.19E+10,4.16E+10,2.70E+10,7.08E+10,0.08013624,0.006183821,0.2756925,2.642682,2878.647,5174.398,1.797441,11.5416,4.668985,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4952.8016,57.70981,105.1851,5.73E+10,2.23E+10,4.44E+10,2.95E+10,7.41E+10,0.06868608,0.001450669,0.2846643,2.655587,2897.771,5281.89,1.822719,14.21103,4.695646,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4952.954,58.58203,104.4917,5.71E+10,2.25E+10,4.16E+10,2.66E+10,7.16E+10,0.06542179,5.20E-06,0.2705272,2.64247,2917.006,5203.846,1.78406,15.81918,4.913246,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4953.1064,59.89717,104.2202,5.64E+10,2.25E+10,3.81E+10,2.31E+10,6.81E+10,0.06884474,8.56E-06,0.2533012,2.629079,2924.577,5089.132,1.740132,16.75761,5.183623,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4953.2588,61.01634,103.2036,5.65E+10,2.29E+10,3.51E+10,1.98E+10,6.57E+10,0.07016618,8.16E-06,0.2309628,2.630402,2953.502,4995.727,1.691615,15.94448,5.389924,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4953.4112,61.34469,101.989,5.73E+10,2.35E+10,3.37E+10,1.80E+10,6.51E+10,0.06718284,5.69E-05,0.2165099,2.635232,2988.633,4968.646,1.662557,16.75705,5.479719,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4953.5636,60.66764,101.5005,5.81E+10,2.38E+10,3.49E+10,1.90E+10,6.66E+10,0.06172433,0.001187576,0.2220353,2.638142,3002.945,5024.363,1.673135,22.13916,5.473269,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4953.716,60.71274,101.3355,5.85E+10,2.40E+10,3.48E+10,1.88E+10,6.68E+10,0.0563128,0.005785578,0.2199984,2.64975,3007.833,5020.43,1.669124,30.98841,5.43119,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4953.8684,59.91581,101.1132,5.96E+10,2.42E+10,3.67E+10,2.06E+10,6.90E+10,0.05230979,0.01125064,0.2293271,2.665353,3014.447,5087.677,1.687747,45.31262,5.261459,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4954.0208,58.08475,100.6396,6.14E+10,2.46E+10,4.11E+10,2.47E+10,7.38E+10,0.04801765,0.01408837,0.2500708,2.678737,3028.649,5248.849,1.733006,58.23037,5.052094,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4954.1732,57.17053,100.4707,6.19E+10,2.46E+10,4.31E+10,2.67E+10,7.59E+10,0.04562389,0.01353908,0.2605705,2.669801,3033.721,5331.48,1.757407,69.76829,4.843226,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4954.3256,57.19194,100.8803,6.11E+10,2.42E+10,4.30E+10,2.69E+10,7.52E+10,0.05111115,0.01043874,0.2631776,2.648435,3021.423,5329.438,1.763888,62.76089,4.821292,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4954.478,57.5733,101.3978,5.98E+10,2.37E+10,4.19E+10,2.61E+10,7.34E+10,0.07283162,0.006600336,0.2621095,2.620103,3005.998,5294.189,1.761204,45.63699,4.904045,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4954.6304,56.90299,101.4012,5.97E+10,2.35E+10,4.33E+10,2.76E+10,7.46E+10,0.08818293,0.009128124,0.2701082,2.60053,3005.885,5356.947,1.782139,24.13208,4.944682,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4954.7828,57.05637,100.8048,6.01E+10,2.38E+10,4.25E+10,2.67E+10,7.42E+10,0.08846268,0.01561353,0.264203,2.599674,3023.704,5342.265,1.766852,16.50577,4.852156,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4954.9352,57.17385,100.0289,6.11E+10,2.43E+10,4.20E+10,2.58E+10,7.44E+10,0.07972787,0.01817965,0.2573811,2.617907,3047.157,5331.115,1.749553,14.60653,4.739782,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4955.0876,56.24289,99.00394,6.32E+10,2.50E+10,4.42E+10,2.75E+10,7.76E+10,0.06902213,0.01335142,0.2617414,2.641503,3078.749,5419.931,1.760386,14.92017,4.797033,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4955.24,56.73243,97.6054,6.44E+10,2.59E+10,4.21E+10,2.48E+10,7.66E+10,0.06304953,0.00421985,0.2444601,2.65177,3122.936,5373.144,1.720755,13.9793,5.011362,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4955.3924,57.09095,97.02021,6.48E+10,2.62E+10,4.08E+10,2.33E+10,7.58E+10,0.06235657,0.000706193,0.2351617,2.658408,3141.616,5338.85,1.699397,17.30808,5.237651,,
